District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
DJJCONS2198;DJJ;JAYAPURA;WAPOGA, WAROPEN;No;No;INDONESIA
PAP399;DJJ;JAYAPURA;WAPOGA, NABIRE;No;No;INDONESIA
MLK142;AMQ;AMBON;WAPLAU, BURU;No;No;INDONESIA
DJJCONS2194;DJJ;JAYAPURA;WANWI, PUNCAK JAYA;No;No;INDONESIA
NTT283;TMC;WAIKABUBAK;WANOKAKA, SUMBA BARAT;No;No;INDONESIA
WMXCONS2190;WMX;WAMENA;WANO BARAT, LANNY JAYA;No;No;INDONESIA
PAP299;TIM;TIMIKA;WANIA, MIMIKA;No;Yes;INDONESIA
JTG548;PWL;PURWOKERTO;WANGON, BANYUMAS;No;Yes;INDONESIA
SLR174;WNI;WAKATOBI;WANGI WANGI SELATAN, WAKATOBI;No;Yes;INDONESIA
SLR173;WNI;WAKATOBI;WANGI WANGI, WAKATOBI;No;Yes;INDONESIA
GTO76;GTO;GORONTALO;WANGGARASI, PAHUWATO;No;No;INDONESIA
PAP298N;NBX;NABIRE;WANGGAR, NABIRE;No;No;INDONESIA
PAP404;DJJ;JAYAPURA;WANGBE, PUNCAK;No;No;INDONESIA
SLU164;MDC;MANADO;WANEA, MANADO;No;Yes;INDONESIA
PAP398;DJJ;JAYAPURA;WANDAI, INTAN JAYA;No;No;INDONESIA
JBR667;PWK;PURWAKARTA;WANAYASA, PURWAKARTA;No;Yes;INDONESIA
JTG607;BNA;BANJAR NEGARA;WANAYASA, BANJARNEGARA;No;Yes;INDONESIA
JTG546;BRE;BREBES;WANASARI, BREBES;No;Yes;INDONESIA
LWAAB117;LWA;LEBAK;WANASALAM, LEBAK;No;No;INDONESIA
LTRAB209;LTR;LOMBOK TIMUR;WANASABA, LOMBOK TIMUR;No;Yes;INDONESIA
JTG545;CXP;CILACAP;WANAREJA, CILACAP;No;No;INDONESIA
MARAB040;MAR;BARITO KUALA;WANARAYA, BARITO KUALA;No;Yes;INDONESIA
JBR619;GRT;GARUT;WANARAJA, GARUT;No;Yes;INDONESIA
BNASA288;BNA;BANJAR NEGARA;WANADADI, BANJARNEGARA;No;Yes;INDONESIA
SMU436;BNJ;BINJAI;WAMPU, LANGKAT;No;Yes;INDONESIA
PBR200;SOQ;SORONG;WAMESA, TELUK BINTUNI;No;No;INDONESIA
PBR199;SOQ;SORONG;WAMESA, TELUK WONDAMA;No;No;INDONESIA
PAP295;WMX;WAMENA;WAMENA, JAYAWIJAYA;No;Yes;INDONESIA
PAP294;WMX;WAMENA;WAME, JAYAWIJAYA;No;No;INDONESIA
JBR618;SKB;SUKABUMI;WALURAN, SUKABUMI;No;Yes;INDONESIA
WMXCONS2145;WMX;WAMENA;WALMA, YAHUKIMO;No;No;INDONESIA
LLOCONS299;LLO;PALOPO;WALENRANG UTARA, LUWU;No;No;INDONESIA
LLOCONS298;LLO;PALOPO;WALENRANG TIMUR, LUWU;No;No;INDONESIA
LLOCONS297;LLO;PALOPO;WALENRANG BARAT, LUWU;No;No;INDONESIA
LLOCONS296;LLO;PALOPO;WALENRANG, LUWU;No;No;INDONESIA
PAP293;WMX;WAMENA;WALELAGAMA, JAYAWIJAYA;No;No;INDONESIA
JBR617;CRB;CIREBON;WALED, CIREBON;No;No;INDONESIA
SLT195;LUW;LUWUK;WALEA KEPULAUAN, TOJO UNA UNA;No;No;INDONESIA
SLT194;LUW;LUWUK;WALEA BESAR, TOJO UNA UNA;No;No;INDONESIA
BTN152;BTO;SERANG;WALANTAKA, SERANG;No;Yes;INDONESIA
PAP292;WMX;WAMENA;WALAIK, JAYAWIJAYA;No;No;INDONESIA
PAP291;WMX;WAMENA;WAKUWO, TOLIKARA;No;No;INDONESIA
SLR227;KDI;KENDARI;WAKORUMBA UTARA, BUTON UTARA;No;No;INDONESIA
SLR279;KDI;KENDARI;WAKORUMBA SELATAN, MUNA;No;No;INDONESIA
MLK100;AMQ;AMBON;WAKATE, SERAM BAGIAN TIMUR;No;No;INDONESIA
SLS292;UPG;MAKASSAR;WAJO, MAKASSAR;No;Yes;INDONESIA
JTM633;MLG;MALANG;WAJAK, MALANG;No;Yes;INDONESIA
NTT282;MOF;MAUMERE;WAIGETE, SIKKA;No;No;INDONESIA
PBR157;SOQ;SORONG;WAIGEO UTARA, RAJA AMPAT;No;No;INDONESIA
PBR156;SOQ;SORONG;WAIGEO TIMUR, RAJA AMPAT;No;No;INDONESIA
PBR155;SOQ;SORONG;WAIGEO SELATAN, RAJA AMPAT;No;No;INDONESIA
